rank,dataset,zero_index_left,zero_index_right,offset_left,offset_right,gap_delta,mid_height,normalized_gap,radius,zeros_used_in_G,edge_ok,G_local,gbar_local,is_lehmer_under_truncation
1,around_1e12,1000000008625,1000000008626,2216.1344650875,2216.1400220558,0.0055569683,267653397863.13724357165,0.021646226566095845,80,160,True,45.4179904624241448966040193559882092410308421076677973430924,0.00140250285322011464204729649790972937367901950985678572171099,True
2,around_1e12,1000000004240,1000000004241,1090.4666016125,1090.4779826923,0.0113810798,267653396737.4722921524,0.04433306410534751,80,160,True,49.4497650025326518494072077809159527756376066125579656949151,0.00640517749413907909970991060238996045294717608251632840935511,True
3,around_1e12,1000000008732,1000000008733,2243.6548205921,2243.6695366898,0.0147160977,267653397890.66217864095,0.0573240601326339,80,160,True,76.7168124250487815191424705784632592876379554569340427617214,0.0166140638254149150075504343655762185190211143508799130778183,True
4,around_1e12,1000000007446,1000000007447,1913.4447543741,1913.465839412,0.0210850379,267653397560.45529689305,0.08213318537682303,80,160,True,125.211580686762835357045383773119488264435701863661540738791,0.0556664171982968222966756634715340029475387193061213478914020,True
5,around_1e12,1000000004742,1000000004743,1219.2509305763,1219.2728255913,0.0218950150,267653396866.2618780838,0.08528831364503993,80,160,True,73.4663796312099106957589567595347471685052219932753742494020,0.0352191712908528317742452121730613342338951390399768047265575,True
6,around_1e12,1000000003033,1000000003034,780.4884033969,780.5108317296,0.0224283327,267653396427.49961756325,0.08736576219403298,80,160,True,56.0066967982499090553013091326060241233862819426273447215248,0.0281730547224507098157973883596048921067869407296184709048450,True
7,around_1e12,1000000008480,1000000008481,2178.9250615499,2178.9514922275,0.0264306776,267653397825.9382768887,0.10295621726360857,80,160,True,69.7001982788140352369437836459497381100223185782801264237687,0.0486912145858977319445410371012522095317311506967729625245494,True
8,around_1e12,1000000008672,1000000008673,2228.1351524489,2228.162198376,0.0270459271,267653397875.14867541245,0.105352817236295,80,160,True,79.6392276719363807081170597542232853488153174293831123876688,0.0582546752894996753363106794271388051450832291938039913226003,True
9,around_1e12,1000000006815,1000000006816,1751.4019511034,1751.4292087184,0.0272576150,267653397398.4155799109,0.10617741150323923,80,160,True,52.5926370314575321970850451440078656278761441089092589537488,0.0390751499501645562019580225667823359505585101465577675700755,True
10,around_1e12,1000000005964,1000000005965,1532.801510532,1532.829367371,0.027856839,267653397179.8154389515,0.1085115868568759,80,160,True,62.4808558952603300121002619292271768514676833548197937278076,0.0484853615501133613369209335486918039562991363257449586054031,True
11,around_1e12,1000000000561,1000000000562,145.6906642979,145.7194723742,0.0288080763,267653395792.70506833605,0.11221697023646651,80,160,True,60.2310010769781175564195571647286598268812705277010960281871,0.0499860246152717357901901642447631247970344339085993037945683,True
12,around_1e12,1000000004765,1000000004766,1225.0637978837,1225.0937016466,0.0299037629,267653396872.07874976515,0.1164850313820006,80,160,True,49.4178369571032092050331969606601114153117240946914816154568,0.0441911611895929874617252485373370772683437721181867185824565,True
13,around_1e12,1000000003772,1000000003773,970.2955860565,970.3262233344,0.0306372779,267653396617.31090469545,0.1193423145252994,80,160,True,80.4194751406251842456835373914432405527570237021744623272279,0.0754851610890657680584256233165670419027587563909942416147686,True
14,around_1e12,1000000008143,1000000008144,2092.2961191395,2092.3281562947,0.0320371552,267653397739.3121377171,0.12479529890052948,80,160,True,110.240925413034886673743081318355096648606785427353011878774,0.113149005323966981366922402503424384497151638306767065815187,True
15,around_1e12,1000000007957,1000000007958,2044.6419651132,2044.6743775496,0.0324124364,267653397691.6581713314,0.12625714309998964,80,160,True,55.7168400054518902594479199566901288609159957723381022763617,0.0585342195972210623134397130156155465295215886955753404029733,True
16,around_1e12,1000000004737,1000000004738,1217.9181016516,1217.9514570596,0.0333554080,267653396864.9347793556,0.12993032885621217,80,160,True,66.0083225792949967171867627388619527937785557608582575346755,0.0734397535901274982857473657087046067647411470081264282939593,True
17,around_1e12,1000000007864,1000000007865,2020.7447834734,2020.7781965916,0.0334131182,267653397667.7614900325,0.1301551291583523,80,160,True,71.2814718656710836476836343115114564833758359042092503305155,0.0795812346726573361211470747904156955137140693332946721567248,True
18,around_1e12,1000000004641,1000000004642,1193.442846522,1193.4763325698,0.0334860478,267653396840.4595895459,0.130439214016887,80,160,True,249.082812972796717634534115047824916074898540264517074104235,0.279300393380197479882740908310409683178953408737865477276404,True
19,around_1e12,1000000003438,1000000003439,884.5064403067,884.5399869004,0.0335465937,267653396531.52321360355,0.13067506028482379,80,160,True,131.473123062162710974489225171383700866402533108998162881117,0.147956427671116118369576304499552804842812040925392151401667,True
20,around_1e12,1000000008930,1000000008931,2294.3479289785,2294.3817414561,0.0338124776,267653397941.3648352173,0.13171076590438366,80,160,True,80.1818756265289978770838100561999693180397089435598983555552,0.0916706267446293049748460650578672356438405105132963127224905,True
21,around_1e12,1000000003713,1000000003714,955.1004410593,955.1343012072,0.0338601479,267653396602.11737113325,0.1318964574377407,80,160,True,102.167595672661687119629075514700790217745046195506121753656,0.117136130862881938191291827296779726784056387885896979199936,True
22,around_1e12,1000000004401,1000000004402,1131.7001271266,1131.7349384526,0.0348113260,267653396778.7175327896,0.13560161024087247,80,160,True,66.6044286754131659894215891864056538890498441043615391424221,0.0807131394254124149612461769419115171364967782901443676552471,True
23,around_1e12,1000000000663,1000000000664,171.9673471335,172.0023191985,0.0349720650,267653395818.9848331660,0.13622774170549234,80,160,True,68.0951081626197972549538005597240635172719216446390492178854,0.0832834040589389643687482607955074499822882951421800743425935,True
24,around_1e12,1000000001951,1000000001952,502.8025261525,502.83778155,0.0352553975,267653396149.82015385125,0.13733141536243323,80,160,True,62.3152265001094392480807349362007016340078390123985803868701,0.0774542778671420392227803143640549148267736612112094917434654,True
25,around_1e12,1000000007770,1000000007771,1996.5068681399,1996.5424433059,0.0355751660,267653397643.5246557229,0.13857701929605273,80,160,True,33.9679064783483876938163176287831124581743743128155342647612,0.0429895255032923462211719449662705336973032907004120536560630,True
