dataset,zero_index_left,zero_index_right,q_geometric,base_height_exact,offset_left,offset_right,window_L_offset,window_U_offset,gap_delta_offset_hp,distance_left_edge_offset_hp,distance_right_edge_offset_hp,G_local_input,gbar_local_recomputed_hp,left_tail_G_bound_hp,right_tail_G_bound_hp,total_tail_G_bound_hp,G_total_upper_hp,gbar_upper_hp,lehmer_margin_to_0_8_hp,still_below_0_8,tail_over_local_G_hp,left_bins,right_bins,biggest_bin_G_hp,biggest_bin_side,biggest_bin_A_abs,biggest_bin_B_abs,source_accuracy_note
around_1e12,1000000008625,1000000008626,1.25,267653395647,2216.13446508750000,2216.14002205580000,1.84752312780000000,2569.04627089950000,0.00555696830000000000,2214.28694195970000,352.906248843700000,46.1418910247119700,0.00142485682779537221,0.00441237145099223863,0.0281623606130630036,0.0325747320640552423,46.1744657567760252,0.00142586273215612362,0.798574137267843876,True,0.000705968726912587182,84,399,0.00572330444991935605,right,267653398216.046271,267653398304.272833,see Odlyzko table accuracy note
around_1e12,1000000008625,1000000008626,1.5,267653395647,2216.13446508750000,2216.14002205580000,1.84752312780000000,2569.04627089950000,0.00555696830000000000,2214.28694195970000,352.906248843700000,46.1418910247119700,0.00142485682779537221,0.00528688166164186278,0.0334813015528305173,0.0387681832144723800,46.1806592079264424,0.00142605398528778575,0.798573946014712214,True,0.000840194936824533437,46,223,0.0112421481941841370,right,267653398216.046271,267653398392.499395,see Odlyzko table accuracy note
around_1e12,1000000008625,1000000008626,2.0,267653395647,2216.13446508750000,2216.14002205580000,1.84752312780000000,2569.04627089950000,0.00555696830000000000,2214.28694195970000,352.906248843700000,46.1418910247119700,0.00142485682779537221,0.00704363454684246558,0.0444235966270025227,0.0514672311738449883,46.1933582558858150,0.00142644613057679703,0.798573553869423203,True,0.00111541226488270613,27,133,0.0222798356829366818,right,267653398216.046271,267653398568.952520,see Odlyzko table accuracy note
around_1e12,1000000008625,1000000008626,4.0,267653395647,2216.13446508750000,2216.14002205580000,1.84752312780000000,2569.04627089950000,0.00555696830000000000,2214.28694195970000,352.906248843700000,46.1418910247119700,0.00142485682779537221,0.0140789545952321305,0.0885198697017935655,0.102598824297025696,46.2444898490089957,0.00142802506888989305,0.798571974931110107,True,0.00222355048782195301,14,69,0.0664305856409199682,right,267653398216.046271,267653399274.765017,see Odlyzko table accuracy note
first_100k,95248,95249,1.25,0,71732.9012078720000,71732.9159093480000,14.1347251420000000,74920.8274989940000,0.0147014760000000000,71718.7664827300000,3187.91158964600000,9.29707720185685600,0.00200940887389056553,1.39881375553550651e-9,0.00119403104191472740,0.00119403244072848293,9.29827123429758448,0.00200966694417760519,0.797990333055822395,True,0.000128430948222093408,1,389,0.000236182287593658096,right,74920.8274989940000,75717.8053964055000,see Odlyzko table accuracy note
first_100k,95248,95249,1.5,0,71732.9012078720000,71732.9159093480000,14.1347251420000000,74920.8274989940000,0.0147014760000000000,71718.7664827300000,3187.91158964600000,9.29707720185685600,0.00200940887389056553,1.39881375553550651e-9,0.00143055914350980316,0.00143056054232355870,9.29850776239917956,0.00200971806579958921,0.797990281934200411,True,0.000153872073046552783,1,217,0.000470880031556734451,right,74920.8274989940000,76514.7832938170000,see Odlyzko table accuracy note
first_100k,95248,95249,2.0,0,71732.9012078720000,71732.9159093480000,14.1347251420000000,74920.8274989940000,0.0147014760000000000,71718.7664827300000,3187.91158964600000,9.29707720185685600,0.00200940887389056553,1.39881375553550651e-9,0.00190705495964043004,0.00190705635845418557,9.29898425821531019,0.00200982105245878501,0.797990178947541215,True,0.000205124289822321719,1,130,0.000941052861264686618,right,74920.8274989940000,78108.7390886400000,see Odlyzko table accuracy note
first_100k,95248,95249,4.0,0,71732.9012078720000,71732.9159093480000,14.1347251420000000,74920.8274989940000,0.0147014760000000000,71718.7664827300000,3187.91158964600000,9.29707720185685600,0.00200940887389056553,1.39881375553550651e-9,0.00382592080380749930,0.00382592220262125484,9.30090312405947725,0.00201023578345126345,0.797989764216548737,True,0.000411518816027162134,1,67,0.00283173292927681294,right,74920.8274989940000,84484.5622679320000,see Odlyzko table accuracy note
first_100k,87761,87762,1.25,0,66678.0758573130000,66678.0953419410000,14.1347251420000000,74920.8274989940000,0.0194846280000000000,66663.9411321710000,8242.73215705300000,9.89112168092216000,0.00375517154985003421,1.61898754826485882e-9,0.000467096651219481876,0.000467098270207030141,9.89158877919236703,0.00375534888404850522,0.796244651115951495,True,0.0000472239939286119532,1,385,0.0000910106906336600718,right,74920.8274989940000,76981.5105382572500,see Odlyzko table accuracy note
first_100k,87761,87762,1.5,0,66678.0758573130000,66678.0953419410000,14.1347251420000000,74920.8274989940000,0.0194846280000000000,66663.9411321710000,8242.73215705300000,9.89112168092216000,0.00375517154985003421,1.61898754826485882e-9,0.000560417884188075809,0.000560419503175624074,9.89168210042533562,0.00375538431352256745,0.796244615686477433,True,0.0000566588422682689670,1,215,0.000182018481192759552,right,74920.8274989940000,79042.1935775205000,see Odlyzko table accuracy note
first_100k,87761,87762,2.0,0,66678.0758573130000,66678.0953419410000,14.1347251420000000,74920.8274989940000,0.0194846280000000000,66663.9411321710000,8242.73215705300000,9.89112168092216000,0.00375517154985003421,1.61898754826485882e-9,0.000748075168697035050,0.000748076787684583315,9.89186975770984458,0.00375545555774730177,0.796244544442252698,True,0.0000756311378847418349,1,128,0.000364782819744612415,right,74920.8274989940000,83163.5596560470000,see Odlyzko table accuracy note
first_100k,87761,87762,4.0,0,66678.0758573130000,66678.0953419410000,14.1347251420000000,74920.8274989940000,0.0194846280000000000,66663.9411321710000,8242.73215705300000,9.89112168092216000,0.00375517154985003421,1.61898754826485882e-9,0.00150657217436329825,0.00150657379335084652,9.89262825471551085,0.00375574352168791511,0.796244256478312085,True,0.000152315767811925958,1,67,0.00110498031705345525,right,74920.8274989940000,99649.0239701530000,see Odlyzko table accuracy note
first_100k,82552,82553,1.25,0,63137.2115328870000,63137.2323823880000,14.1347251420000000,74920.8274989940000,0.0208495010000000000,63123.0768077450000,11783.5951166060000,10.4844472534283200,0.00455760696021534718,1.80571474182973203e-9,0.000329050133784127094,0.000329051939498868924,10.4847763053678189,0.00455774999965018644,0.795442250000349814,True,0.0000313847675080125848,1,383,0.0000636469374653272152,right,74920.8274989940000,77866.7262781455000,see Odlyzko table accuracy note
first_100k,82552,82553,1.5,0,63137.2115328870000,63137.2323823880000,14.1347251420000000,74920.8274989940000,0.0208495010000000000,63123.0768077450000,11783.5951166060000,10.4844472534283200,0.00455760696021534718,1.80571474182973203e-9,0.000394932016600698554,0.000394933822315440384,10.4848421872506354,0.00455777863861611559,0.795442221361383884,True,0.0000376685401499159218,1,214,0.000127421539258276094,right,74920.8274989940000,80812.6250572970000,see Odlyzko table accuracy note
first_100k,82552,82553,2.0,0,63137.2115328870000,63137.2323823880000,14.1347251420000000,74920.8274989940000,0.0208495010000000000,63123.0768077450000,11783.5951166060000,10.4844472534283200,0.00455760696021534718,1.80571474182973203e-9,0.000527438039642829756,0.000527439845357571586,10.4849746932736776,0.00455783623920852544,0.795442163760791475,True,0.0000503068814796224473,1,128,0.000255700770296696526,right,74920.8274989940000,86704.4226156000000,see Odlyzko table accuracy note
first_100k,82552,82553,4.0,0,63137.2115328870000,63137.2323823880000,14.1347251420000000,74920.8274989940000,0.0208495010000000000,63123.0768077450000,11783.5951166060000,10.4844472534283200,0.00455760696021534718,1.80571474182973203e-9,0.00106419342279393524,0.00106419522850867707,10.4855114486568287,0.00455806956768174395,0.795441930432318256,True,0.000101502273108455460,1,66,0.000777451323654749255,right,74920.8274989940000,110271.612848812000,see Odlyzko table accuracy note
around_1e21,1000000000000000001635,1000000000000000001636,1.25,144176897509546973000,768.840428760000000,768.845728880000000,538.498069620000000,1947.74231109000000,0.00530012000000000000,230.342359140000000,1178.89658221000000,205.659941317591430,0.00577724935401800240,0.0788425429730526595,0.0151161378344179097,0.0939586808074705692,205.753899998398901,0.00577988877287867924,0.794220111227121321,True,0.000456864278991378246,184,393,0.0160623837208120889,left,1.44176897509546973e+20,1.44176897509546974e+20,around_1e21 data are stated by Odlyzko as not guaranteed/probably accurate to 1e-6
around_1e21,1000000000000000001635,1000000000000000001636,1.5,144176897509546973000,768.840428760000000,768.845728880000000,538.498069620000000,1947.74231109000000,0.00530012000000000000,230.342359140000000,1178.89658221000000,205.659941317591430,0.00577724935401800240,0.0935965293401443150,0.0181006339996251097,0.111697163339769425,205.771638480931199,0.00578038706941661673,0.794219612930583383,True,0.000543115798945408146,102,220,0.0314631890561585876,left,1.44176897509546973e+20,1.44176897509546974e+20,around_1e21 data are stated by Odlyzko as not guaranteed/probably accurate to 1e-6
around_1e21,1000000000000000001635,1000000000000000001636,2.0,144176897509546973000,768.840428760000000,768.845728880000000,538.498069620000000,1947.74231109000000,0.00530012000000000000,230.342359140000000,1178.89658221000000,205.659941317591430,0.00577724935401800240,0.124089495059164867,0.0241072303801309641,0.148196725439295831,205.808138043030726,0.00578141238854396101,0.794218587611456039,True,0.000720591110207710649,60,131,0.0622647997268515850,left,1.44176897509546973e+20,1.44176897509546974e+20,around_1e21 data are stated by Odlyzko as not guaranteed/probably accurate to 1e-6
around_1e21,1000000000000000001635,1000000000000000001636,4.0,144176897509546973000,768.840428760000000,768.845728880000000,538.498069620000000,1947.74231109000000,0.00530012000000000000,230.342359140000000,1178.89658221000000,205.659941317591430,0.00577724935401800240,0.247119703709166881,0.0481740203090127749,0.295293724018179656,205.955235041609610,0.00578554453034354225,0.794214455469656458,True,0.00143583491333477915,30,68,0.185471242409623575,left,1.44176897509546973e+20,1.44176897509546974e+20,around_1e21 data are stated by Odlyzko as not guaranteed/probably accurate to 1e-6
first_100k,73997,73998,1.25,0,57273.6619317050000,57273.6877709850000,14.1347251420000000,74920.8274989940000,0.0258392800000000000,57259.5272065630000,17647.1397280090000,8.94336453618082800,0.00597120180926853617,2.19447124615950146e-9,0.000221918762911403080,0.000221920957382649239,8.94358645713821065,0.00597134997887706291,0.794028650021122937,True,0.0000248140346381786094,1,381,0.0000425135852264572926,right,74920.8274989940000,79332.6124309962500,see Odlyzko table accuracy note
first_100k,73997,73998,1.5,0,57273.6619317050000,57273.6877709850000,14.1347251420000000,74920.8274989940000,0.0258392800000000000,57259.5272065630000,17647.1397280090000,8.94336453618082800,0.00597120180926853617,2.19447124615950146e-9,0.000266445923307645479,0.000266448117778891638,8.94363098429860689,0.00597137970825459684,0.794028620291745403,True,0.0000297928275987143840,1,213,0.0000852210480354485313,right,74920.8274989940000,83744.3973629985000,see Odlyzko table accuracy note
first_100k,73997,73998,2.0,0,57273.6619317050000,57273.6877709850000,14.1347251420000000,74920.8274989940000,0.0258392800000000000,57259.5272065630000,17647.1397280090000,8.94336453618082800,0.00597120180926853617,2.19447124615950146e-9,0.000356058332272152628,0.000356060526743398787,8.94372059670757140,0.00597143953962749649,0.794028560460372504,True,0.0000398128160048646278,1,127,0.000171337072762034187,right,74920.8274989940000,92567.9672270030000,see Odlyzko table accuracy note
first_100k,73997,73998,4.0,0,57273.6619317050000,57273.6877709850000,14.1347251420000000,74920.8274989940000,0.0258392800000000000,57259.5272065630000,17647.1397280090000,8.94336453618082800,0.00597120180926853617,2.19447124615950146e-9,0.000720138436794144084,0.000720140631265390243,8.94408467681209339,0.00597168262440504809,0.794028317375594952,True,0.0000805223390315831748,1,66,0.000523717219472064386,right,74920.8274989940000,127862.246683021000,see Odlyzko table accuracy note
around_1e12,1000000004240,1000000004241,1.25,267653395647,1090.46660161250000,1090.47798269230000,1.84752312780000000,2569.04627089950000,0.0113810798000000000,1088.61907848470000,1478.56828820720000,50.1867452662239600,0.00650063779406929076,0.00900521147297063931,0.00661864845797164682,0.0156238599309422861,50.2023691261549023,0.00650266153666940479,0.793497338463330595,True,0.000311314468552660977,87,392,0.00181058380983681513,left,267653395376.692754,267653395648.847523,see Odlyzko table accuracy note
around_1e12,1000000004240,1000000004241,1.5,267653395647,1090.46660161250000,1090.47798269230000,1.84752312780000000,2569.04627089950000,0.0113810798000000000,1088.61907848470000,1478.56828820720000,50.1867452662239600,0.00650063779406929076,0.0107733016918119679,0.00792451522123128888,0.0186978169130432567,50.2054430831370033,0.00650305970317391085,0.793496940296826089,True,0.000372564843841886312,48,219,0.00359968046206757524,left,267653395104.537984,267653395648.847523,see Odlyzko table accuracy note
around_1e12,1000000004240,1000000004241,2.0,267653395647,1090.46660161250000,1090.47798269230000,1.84752312780000000,2569.04627089950000,0.0113810798000000000,1088.61907848470000,1478.56828820720000,50.1867452662239600,0.00650063779406929076,0.0143414725702469696,0.0105535903880110804,0.0248950629582580500,50.2116403291822180,0.00650386242611693028,0.793496137573883070,True,0.000496048564739515120,28,131,0.00717787376630611125,left,267653394560.228445,267653395648.847523,see Odlyzko table accuracy note
around_1e12,1000000004240,1000000004241,4.0,267653395647,1090.46660161250000,1090.47798269230000,1.84752312780000000,2569.04627089950000,0.0113810798000000000,1088.61907848470000,1478.56828820720000,50.1867452662239600,0.00650063779406929076,0.0286485256665448087,0.0210885224298772851,0.0497370480964220937,50.2364823143203821,0.00650708018304880966,0.793492919816951190,True,0.000991039523136709252,14,68,0.0214906469802871325,left,267653392382.990288,267653395648.847523,see Odlyzko table accuracy note
around_1e21,1000000000000000006362,1000000000000000006363,1.25,144176897509546973000,1435.14787155000000,1435.15712030000000,538.498069620000000,1947.74231109000000,0.00924875000000000000,896.649801930000000,512.585190790000000,149.362142375974320,0.0127763445408802058,0.0199033567539051454,0.0349751485182951994,0.0548785052722003448,149.417020881246520,0.0127810388140078717,0.787218961185992128,True,0.000367419109013984247,178,397,0.00705435060889972975,right,1.44176897509546975e+20,1.44176897509546975e+20,around_1e21 data are stated by Odlyzko as not guaranteed/probably accurate to 1e-6
around_1e21,1000000000000000006362,1000000000000000006363,1.5,144176897509546973000,1435.14787155000000,1435.15712030000000,538.498069620000000,1947.74231109000000,0.00924875000000000000,896.649801930000000,512.585190790000000,149.362142375974320,0.0127763445408802058,0.0238170708956241982,0.0417652939247516237,0.0655823648203758218,149.427724740794696,0.0127819544154804352,0.787218045584519565,True,0.000439082914700646979,98,222,0.0139751035194031979,right,1.44176897509546975e+20,1.44176897509546975e+20,around_1e21 data are stated by Odlyzko as not guaranteed/probably accurate to 1e-6
around_1e21,1000000000000000006362,1000000000000000006363,2.0,144176897509546973000,1435.14787155000000,1435.15712030000000,538.498069620000000,1947.74231109000000,0.00924875000000000000,896.649801930000000,512.585190790000000,149.362142375974320,0.0127763445408802058,0.0317095014184934155,0.0555444869981546589,0.0872539884166480745,149.449396364390968,0.0127838081926519575,0.787216191807348043,True,0.000584177402845577648,58,132,0.0278166093404101341,right,1.44176897509546975e+20,1.44176897509546975e+20,around_1e21 data are stated by Odlyzko as not guaranteed/probably accurate to 1e-6
around_1e21,1000000000000000006362,1000000000000000006363,4.0,144176897509546973000,1435.14787155000000,1435.15712030000000,538.498069620000000,1947.74231109000000,0.00924875000000000000,896.649801930000000,512.585190790000000,149.362142375974320,0.0127763445408802058,0.0633490588255419936,0.110874950491693437,0.174224009317235431,149.536366385291555,0.0127912475540194213,0.787208752445980579,True,0.00116645360427864532,29,69,0.0831826326244378791,right,1.44176897509546975e+20,1.44176897509546976e+20,around_1e21 data are stated by Odlyzko as not guaranteed/probably accurate to 1e-6
around_1e12,1000000008732,1000000008733,1.25,267653395647,2243.65482059210000,2243.66953668980000,1.84752312780000000,2569.04627089950000,0.0147160977000000000,2241.80729746430000,325.376734209700000,77.4387412428711600,0.0167704072797056608,0.00435802056380949154,0.0305967391298438130,0.0349547596936533046,77.4736960025648133,0.0167779772059082096,0.783222022794091790,True,0.000451385948849874452,84,399,0.00622612162285452708,right,267653398216.046271,267653398297.390454,see Odlyzko table accuracy note
around_1e12,1000000008732,1000000008733,1.5,267653395647,2243.65482059210000,2243.66953668980000,1.84752312780000000,2569.04627089950000,0.0147160977000000000,2241.80729746430000,325.376734209700000,77.4387412428711600,0.0167704072797056608,0.00522185400499858387,0.0363472192125600460,0.0415690732175586298,77.4803103160887186,0.0167794096250035002,0.783220590374996500,True,0.000536799443668454350,46,223,0.0122117279185644723,right,267653398216.046271,267653398378.734638,see Odlyzko table accuracy note
around_1e12,1000000008732,1000000008733,2.0,267653395647,2243.65482059210000,2243.66953668980000,1.84752312780000000,2569.04627089950000,0.0147160977000000000,2241.80729746430000,325.376734209700000,77.4387412428711600,0.0167704072797056608,0.00695706433409692319,0.0482062614721360952,0.0551633258062330183,77.4939045686773930,0.0167823536443524233,0.783217646355647577,True,0.000712347914246491354,27,133,0.0241829405102073392,right,267653398216.046271,267653398541.423005,see Odlyzko table accuracy note
around_1e12,1000000008732,1000000008733,4.0,267653395647,2243.65482059210000,2243.66953668980000,1.84752312780000000,2569.04627089950000,0.0147160977000000000,2241.80729746430000,325.376734209700000,77.4387412428711600,0.0167704072797056608,0.0139060095076779336,0.0960271173575655780,0.109933126865243512,77.5486743697364035,0.0167942147858901884,0.783205785214109812,True,0.00141961407301882910,14,69,0.0720677908797518260,right,267653398216.046271,267653399192.176474,see Odlyzko table accuracy note
around_1e12,1000000003033,1000000003034,1.25,267653395647,780.488403396900000,780.510831729600000,1.84752312780000000,2569.04627089950000,0.0224283327000000000,778.640880269100000,1788.53543916990000,56.7415986321094400,0.0285427324710873856,0.0126232925492788196,0.00546693466048768158,0.0180902272097665012,56.7596888593192065,0.0285518324000290661,0.771448167599970934,True,0.000318817721845599230,89,392,0.00254329295791518583,left,267653395454.187303,267653395648.847523,see Odlyzko table accuracy note
around_1e12,1000000003033,1000000003034,1.5,267653395647,780.488403396900000,780.510831729600000,1.84752312780000000,2569.04627089950000,0.0224283327000000000,778.640880269100000,1788.53543916990000,56.7415986321094400,0.0285427324710873856,0.0150835313657734402,0.00654811195697538447,0.0216316433227488247,56.7632302754321888,0.0285536138389577968,0.771446386161042203,True,0.000381230769739147218,49,219,0.00504458599425546809,left,267653395259.527083,267653395648.847523,see Odlyzko table accuracy note
around_1e12,1000000003033,1000000003034,2.0,267653395647,780.488403396900000,780.510831729600000,1.84752312780000000,2569.04627089950000,0.0224283327000000000,778.640880269100000,1788.53543916990000,56.7415986321094400,0.0285427324710873856,0.0200665364269168773,0.00872231753833583982,0.0287888539652527171,56.7703874860746927,0.0285572141313981407,0.771442785868601859,True,0.000507367692473885018,29,130,0.0100471720667130525,left,267653394870.206643,267653395648.847523,see Odlyzko table accuracy note
around_1e12,1000000003033,1000000003034,4.0,267653395647,780.488403396900000,780.510831729600000,1.84752312780000000,2569.04627089950000,0.0224283327000000000,778.640880269100000,1788.53543916990000,56.7415986321094400,0.0285427324710873856,0.0400657188454738673,0.0174318692976155312,0.0574975881430893985,56.7990962202525294,0.0285716554890436027,0.771428344510956397,True,0.00101332337348973020,15,68,0.0300575163535703219,left,267653393312.924882,267653395648.847523,see Odlyzko table accuracy note
