dataset,base_height,zero_index_left,zero_index_right,offset_left,offset_right,height_left_approx,height_right_approx,gap,mid_height_approx,avg_spacing,normalized_gap,naive_collision_t_minus_gap2_over_8,trunc_radius,trunc_dgap_dt,linear_collision_t,external_dgap_dt,ext_corrected_collision_t,edge_ok_for_trunc
first_100k,0,95248,95249,71732.901207872,71732.915909348,71732.901207872,71732.915909348,0.0147014760004822,71732.90855861,0.672514298786995,0.021860466055516,-2.70166745740943e-05,80,271.872487992508,-5.40748941131821e-05,-0.209036329866478,-2.70305202302899e-05,True
first_100k,0,87761,87762,66678.075857313,66678.095341941,66678.075857313,66678.095341941,0.0194846280064667,66678.085599627,0.677815714176677,0.0287462028379411,-4.74563410687981e-05,80,205.026050898491,-9.50348890839904e-05,-0.263985876779174,-4.74970636149346e-05,True
first_100k,0,82552,82553,63137.211532887,63137.232382388,63137.211532887,63137.232382388,0.0208495010010665,63137.2219576375,0.681829261890133,0.0305787712062527,-5.43377114991843e-05,80,191.562025015128,-0.000108839426809254,-0.289089301487337,-5.43923588233742e-05,True
first_100k,0,73997,73998,57273.661931705,57273.687770985,57273.661931705,57273.687770985,0.0258392800024012,57273.674851345,0.68911808947562,0.0374961568953493,-8.34585488803114e-05,80,154.502509885978,-0.000167241813880373,-0.3005651079188,-8.35667349855205e-05,True
first_100k,0,44555,44556,36510.166385301,36510.195922929,36510.166385301,36510.195922929,0.0295376279973425,36510.181154115,0.724915778638991,0.0407462892486608,-0.000109058933463674,80,135.159271499616,-0.000218539414052896,-0.261216576131545,-0.000109199381333389,True
first_100k,0,6709,6710,7005.062866175,7005.100564674,7005.062866175,7005.100564674,0.0376984990007259,7005.0817154245,0.895485315871316,0.0420983999766036,-0.000177647103363466,80,105.867853686374,-0.000356090141511746,-0.237166567163655,-0.000177912266498935,True
first_100k,0,18859,18860,17143.786536184,17143.821843505,17143.786536184,17143.821843505,0.0353073209989816,17143.8041898445,0.794182311241367,0.0444574507631549,-0.000155825864515641,80,112.920057239321,-0.000312675372844984,-0.370894518683457,-0.000156166799300474,True
first_100k,0,4765,4766,5229.198557199,5229.241811259,5229.198557199,5229.241811259,0.0432540600004359,5229.220184229,0.9344220906472,0.0462896376630792,-0.000233864213315163,80,92.2257098406566,-0.000469002191202087,-0.25115822582535,-0.000234288512748411,True
first_100k,0,64901,64902,50965.866870985,50965.899781585,50965.866870985,50965.899781585,0.0329105999990134,50965.883326285,0.698051450704094,0.0471463814964038,-0.000135388449036882,80,121.180929232092,-0.000271582337316306,-0.360458652660313,-0.000135656729369442,True
first_100k,0,39985,39986,33179.365294362,33179.401575496,33179.365294362,33179.401575496,0.0362811339946347,33179.383434929,0.733005930917738,0.0494963716722047,-0.00016454008549208,80,109.883811773742,-0.000330177242752917,-0.366325407513344,-0.000164905471707855,True
first_100k,0,73088,73089,56646.914296409,56646.948647637,56646.914296409,56646.948647637,0.0343512280014693,56646.931472023,0.689950722630902,0.049787944087488,-0.000147500858151116,80,116.107032725386,-0.00029585828864231,-0.337130488485656,-0.000147786175241607,True
first_100k,0,96653,96654,72677.227717565,72677.262840656,72677.227717565,72677.262840656,0.0351230910018785,72677.2452791105,0.671574183790947,0.0522996444020723,-0.00015420394019078,80,113.427181668083,-0.000309653210856087,-0.458011402938993,-0.000154618631978622,True
first_100k,0,94015,94016,70902.967572757,70903.003564705,70902.967572757,70903.003564705,0.0359919479960809,70902.985568731,0.673353002021662,0.0534518267357824,-0.000161927540069074,80,110.781743534111,-0.000324890607855424,-0.354225000728391,-0.000162272440401224,True
first_100k,0,52928,52929,42525.795936896,42525.835168262,42525.795936896,42525.835168262,0.0392313659976935,42525.815552579,0.712380132268739,0.0550708311765408,-0.000192387509755623,80,101.593673445274,-0.000386159537964008,-0.365559894578382,-0.000192848601348403,True
first_100k,0,49527,49528,40094.949035823,40094.988907754,40094.949035823,40094.988907754,0.0398719309960143,40094.9689717885,0.717166161117308,0.0555965035130713,-0.000198721360168865,80,99.8158384428982,-0.000399454952420441,-0.505362464072022,-0.000199391256926365,True
first_100k,0,66565,66566,52126.185441986,52126.224397912,52126.185441986,52126.224397912,0.0389559260001988,52126.204919949,0.696309998456724,0.0559462395865912,-0.000189695521316621,80,102.272010497078,-0.000380905057120314,-0.408131157867999,-0.000190199690124705,True
first_100k,0,97353,97354,73146.967052934,73147.005732997,73146.967052934,73147.005732997,0.0386800630076323,73146.9863929655,0.671112048074735,0.0576357750074617,-0.0001870184092843,80,102.868996465047,-0.000376012835128365,-0.543451420850005,-0.000187676213371338,True
first_100k,0,25095,25096,22016.007862318,22016.052314141,22016.007862318,22016.052314141,0.0444518229996902,22016.0300882295,0.769842623180043,0.057741441771657,-0.000246995570999473,80,89.5352583321601,-0.000496472829003092,-0.449802573618186,-0.000247821763135579,True
first_100k,0,27925,27926,24182.103127265,24182.148234754,24182.103127265,24182.148234754,0.0451074890006566,24182.1256810095,0.761091565968051,0.0592668359729927,-0.000254335695493045,80,88.3329986064401,-0.000510652753923017,-0.344072288412193,-0.000254995507658545,True
first_100k,0,72331,72332,56124.437301609,56124.480472823,56124.437301609,56124.480472823,0.0431712139979936,56124.458887216,0.690653464898481,0.0625077787806934,-0.00023296921475757,80,92.2069229782416,-0.000468199269681528,-0.447409146537197,-0.000233721915740126,True
first_100k,0,51403,51404,41438.030791294,41438.078167319,41438.030791294,41438.078167319,0.0473760250024498,41438.0544793065,0.714479153597956,0.0663084776705867,-0.000280560968129093,80,83.9337519327755,-0.000564445457417349,-0.497139004004609,-0.000281667171957828,True
first_100k,0,24199,24200,21324.943978943,21324.995623237,21324.943978943,21324.995623237,0.0516442939988337,21324.96980109,0.772862631974326,0.066822086956003,-0.000333391637829747,80,76.9154752880385,-0.000671442174743543,-0.537418154368353,-0.000334941899052569,True
first_100k,0,74722,74723,57773.013783118,57773.060618812,57773.013783118,57773.060618812,0.0468356939963996,57773.037200965,0.688462595901575,0.0680293951700688,-0.000274197779015548,80,84.8412036715861,-0.000552039480459248,-0.563744108359003,-0.000275410407439604,True
first_100k,0,81648,81649,62520.461894196,62520.51105336,62520.461894196,62520.51105336,0.0491591640020488,62520.486473778,0.682556334111953,0.0720221343576099,-0.000302077925672541,80,80.8805635395494,-0.000607799474320066,-0.487785194641731,-0.000303290639864833,True
first_100k,0,95587,95588,71960.850503631,71960.899848002,71960.850503631,71960.899848002,0.0493443710001884,71960.8751758165,0.672285981211734,0.0733978877727744,-0.000304358368675529,80,80.5134264535492,-0.000612871333064638,-0.549517888870909,-0.000305740877357237,True
around_1e12,267653395647,1000000008625,1000000008626,2216.1344650875,2216.1400220558,267653397863.134,267653397863.14,0.00555696829997032,267653397863.137,0.256717644668092,0.0216462265659802,-3.85998708585938e-06,80,719.371920868874,-7.724750075397e-06,-0.445034002249372,-3.86157880768185e-06,True
around_1e12,267653395647,1000000004240,1000000004241,1090.4666016125,1090.4779826923,267653396737.467,267653396737.478,0.0113810798000031,267653396737.472,0.256717644712205,0.0443330641053597,-1.61911221767549e-05,80,350.705456095554,-3.24519610464864e-05,-0.755044163736272,-1.62143485769786e-05,True
around_1e12,267653395647,1000000008732,1000000008733,2243.6548205921,2243.6695366898,267653397890.655,267653397890.67,0.0147160977003296,267653397890.662,0.256717644667013,0.0573240601339176,-2.70704414407056e-05,80,270.48949109157,-5.44054323180623e-05,-1.32169700012213,-2.71585170736694e-05,True
around_1e12,267653395647,1000000007446,1000000007447,1913.4447543741,1913.465839412,267653397560.445,267653397560.466,0.0210850378998657,267653397560.455,0.256717644679953,0.0821331853762999,-5.55723529048467e-05,80,186.89047208397,-0.000112820293430433,-2.8175103724177,-5.61287896520518e-05,True
around_1e12,267653395647,1000000004742,1000000004743,1219.2509305763,1219.2728255913,267653396866.251,267653396866.273,0.0218950149999273,267653396866.262,0.256717644707158,0.0852883136447567,-5.99239602308802e-05,80,180.891150015096,-0.000121039724707925,-1.79883672450089,-6.03202445833234e-05,True
around_1e12,267653395647,1000000003033,1000000003034,780.4884033969,780.5108317296,267653396427.488,267653396427.511,0.0224283326999739,267653396427.5,0.256717644724352,0.0873657621939313,-6.28787634625899e-05,80,176.896394767531,-0.000126787958168668,-1.44945258137432,-6.32215392451997e-05,True
around_1e12,267653395647,1000000008480,1000000008481,2178.9250615499,2178.9514922275,267653397825.925,267653397825.951,0.0264306775998193,267653397825.938,0.256717644669549,0.102956217262905,-8.73225897981988e-05,80,149.307810435919,-0.000177021399769057,-2.03148023846569,-8.81119835180156e-05,True
around_1e12,267653395647,1000000008672,1000000008673,2228.1351524489,2228.162198376,267653397875.135,267653397875.162,0.0270459271000618,267653397875.149,0.256717644667621,0.105352817236536,-9.14352715877323e-05,80,145.554571649772,-0.00018581296893332,-2.3420038753043,-9.24121600094661e-05,True
around_1e12,267653395647,1000000006815,1000000006816,1751.4019511034,1751.4292087184,267653397398.402,267653397398.429,0.0272576150000532,267653397398.416,0.256717644686303,0.106177411503446,-9.28721969363906e-05,80,145.123368132369,-0.000187823748517132,-1.62461403673097,-9.3563383974745e-05,True
around_1e12,267653395647,1000000005964,1000000005965,1532.801510532,1532.829367371,267653397179.802,267653397179.829,0.0278568389999236,267653397179.815,0.25671764469487,0.108511586856578,-9.70004348834583e-05,80,141.661095083513,-0.000196644244374232,-1.93021475645037,-9.78785745410698e-05,True
around_1e12,267653395647,1000000000561,1000000000562,145.6906642979,145.7194723742,267653395792.691,267653395792.719,0.0288080762999812,267653395792.705,0.256717644749229,0.112216970236393,-0.000103738157513192,80,136.92613295797,-0.000210391367065219,-1.92381864406144,-0.000104706447522313,True
around_1e12,267653395647,1000000004765,1000000004766,1225.0637978837,1225.0937016466,267653396872.064,267653396872.094,0.0299037628999486,267653396872.079,0.25671764470693,0.1164850313818,-0.000111779379447042,80,132.093256974083,-0.000226383719994244,-1.66917330544808,-0.000112718073328241,True
around_1e12,267653395647,1000000003772,1000000003773,970.2955860565,970.3262233344,267653396617.296,267653396617.326,0.0306372778999275,267653396617.311,0.256717644716914,0.119342314525017,-0.000117330349639674,80,127.916254155155,-0.000239510436748455,-2.64364783957978,-0.000118938644670483,True
around_1e12,267653395647,1000000008143,1000000008144,2092.2961191395,2092.3281562947,267653397739.296,267653397739.328,0.0320371551997596,267653397739.312,0.256717644672944,0.124795298899593,-0.000128297414161685,80,121.154745934028,-0.000264431698096291,-3.7002848906199,-0.000130889998089718,True
around_1e12,267653395647,1000000007957,1000000007958,2044.6419651132,2044.6743775496,267653397691.642,267653397691.674,0.032412436399909,267653397691.658,0.256717644674812,0.126257143099635,-0.000131320754172268,80,121.413042500388,-0.000266960087091182,-1.99637821231215,-0.000132754401540539,True
around_1e12,267653395647,1000000004737,1000000004738,1217.9181016516,1217.9514570596,267653396864.918,267653396864.951,0.033355408000034,267653396864.935,0.25671764470721,0.129930328856345,-0.000139072905356092,80,117.533317177174,-0.000283795342470873,-2.38726661529256,-0.000140946597026859,True
around_1e12,267653395647,1000000007864,1000000007865,2020.7447834734,2020.7781965916,267653397667.745,267653397667.778,0.03341311819986,267653397667.762,0.256717644675748,0.130155129157807,-0.000139554558479727,80,117.150300698475,-0.000285215812513018,-2.56315962791682,-0.000141579085899003,True
around_1e12,267653395647,1000000004641,1000000004642,1193.442846522,1193.4763325698,267653396840.443,267653396840.476,0.0334860477998973,267653396840.46,0.256717644708169,0.130439214016487,-0.000140164424657126,80,111.204410894208,-0.000301121578997019,-8.24832428382221,-0.000146970490998041,True
around_1e12,267653395647,1000000003438,1000000003439,884.5064403067,884.5399869004,267653396531.506,267653396531.54,0.0335465936999526,267653396531.523,0.256717644720276,0.130675060284639,-0.000140671743608713,80,114.697253948459,-0.000292479484426256,-4.5398893447407,-0.000144347581357313,True
around_1e12,267653395647,1000000008930,1000000008931,2294.3479289785,2294.3817414561,267653397941.348,267653397941.382,0.0338124775998949,267653397941.365,0.256717644665026,0.131710765903974,-0.000142910455180424,80,115.411876082586,-0.000292972255088372,-2.88764775983246,-0.000145279473371065,True
around_1e12,267653395647,1000000003713,1000000003714,955.1004410593,955.1343012072,267653396602.1,267653396602.134,0.0338601478999863,267653396602.117,0.256717644717509,0.131896457437687,-0.000143313701976118,80,114.512847078266,-0.000295688638994749,-3.62012776327714,-0.00014631053954299,True
around_1e12,267653395647,1000000004401,1000000004402,1131.7001271266,1131.7349384526,267653396778.7,267653396778.735,0.034811326000181,267653396778.718,0.256717644710588,0.135601610241578,-0.00015147855223636,80,112.400070486768,-0.000309709111830842,-2.50506125050634,-0.000153716791748698,True
around_1e12,267653395647,1000000000663,1000000000664,171.9673471335,172.0023191985,267653395818.967,267653395819.002,0.0349720650000052,267653395818.985,0.256717644748199,0.136227741705512,-0.000152880666295573,80,111.811205702379,-0.000312777818469236,-2.56579777166249,-0.00015520619906716,True
around_1e12,267653395647,1000000001951,1000000001952,502.8025261525,502.83778155,267653396149.803,267653396149.838,0.0352553975000092,267653396149.82,0.256717644735234,0.137331415362469,-0.000155367881610457,80,111.073999015999,-0.000317404593445232,-2.38380556552556,-0.000157578999440632,True
around_1e12,267653395647,1000000007770,1000000007771,1996.5068681399,1996.5424433059,267653397643.507,267653397643.542,0.0355751659999441,267653397643.525,0.256717644676698,0.138577019295835,-0.000158199054490448,80,111.037186106364,-0.000320389657261903,-1.40079942562977,-0.000159525395316243,True
around_1e21,1.44176897509547e+20,1000000000000000001635,1000000000000000001636,768.84042876,768.84572888,1.44176897509547e+20,1.44176897509547e+20,0.00530012000001534,1.44176897509547e+20,0.140942759287134,0.037604769672614,-3.51140900182033e-06,80,753.271195889028,-7.03613788624961e-06,-1.4286976961024,-3.51584685911878e-06,True
around_1e21,1.44176897509547e+20,1000000000000000006362,1000000000000000006363,1435.14787155,1435.1571203,1.44176897509547e+20,1.44176897509547e+20,0.00924875000009706,1.44176897509547e+20,0.140942759287134,0.0656206111394141,-1.06924220705369e-05,80,430.780817021394,-2.14697350361303e-05,-1.71006011962731,-1.07206909975578e-05,True
around_1e21,1.44176897509547e+20,1000000000000000009531,1000000000000000009532,1881.74612218,1881.75711745,1.44176897509547e+20,1.44176897509547e+20,0.0109952699999667,1.44176897509547e+20,0.140942759287134,0.0780123083695752,-1.51119952965209e-05,80,359.409126839793,-3.05926287867137e-05,-4.38366769932378,-1.52345018252143e-05,True
around_1e21,1.44176897509547e+20,1000000000000000006311,1000000000000000006312,1427.93527556,1427.94739117,1.44176897509547e+20,1.44176897509547e+20,0.0121156099999098,1.44176897509547e+20,0.140942759287134,0.0859612090836637,-1.83485007087393e-05,80,326.519596184713,-3.71053074347671e-05,-3.63299209022955,-1.84842258082793e-05,True
around_1e21,1.44176897509547e+20,1000000000000000005530,1000000000000000005531,1317.87374294,1317.88601379,1.44176897509547e+20,1.44176897509547e+20,0.0122708500000499,1.44176897509547e+20,0.140942759287134,0.0870626491358188,-1.88217199654656e-05,80,322.803364014149,-3.80133894748137e-05,-3.17242413286067,-1.89447346849949e-05,True
around_1e21,1.44176897509547e+20,1000000000000000002570,1000000000000000002571,900.67530199,900.68765335,1.44176897509547e+20,1.44176897509547e+20,0.0123513600000251,1.44176897509547e+20,0.140942759287134,0.0876338739392953,-1.90695117312776e-05,80,319.907306254138,-3.86091838434382e-05,-3.94367047974873,-1.92257512318663e-05,True
around_1e21,1.44176897509547e+20,1000000000000000006466,1000000000000000006467,1449.6928972,1449.70571174,1.44176897509547e+20,1.44176897509547e+20,0.0128145399999084,1.44176897509547e+20,0.140942759287134,0.0909201725915,-2.05265544261567e-05,80,307.594942466693,-4.16604379029933e-05,-4.550479844883,-2.07282531187266e-05,True
around_1e21,1.44176897509547e+20,1000000000000000003084,1000000000000000003085,973.18640494,973.19978755,1.44176897509547e+20,1.44176897509547e+20,0.0133826100000078,1.44176897509547e+20,0.140942759287134,0.0949506740729,-2.23867813015387e-05,80,295.020281009854,-4.53616610837708e-05,-3.8750764725541,-2.25821737681722e-05,True
around_1e21,1.44176897509547e+20,1000000000000000006674,1000000000000000006675,1479.09583226,1479.10927648,1.44176897509547e+20,1.44176897509547e+20,0.0134442200001104,1.44176897509547e+20,0.140942759287134,0.0953878018857378,-2.25933814264209e-05,80,294.03406559984,-4.57233415205945e-05,-3.4915625115093,-2.27717125142217e-05,True
around_1e21,1.44176897509547e+20,1000000000000000009234,1000000000000000009235,1839.9433767,1839.95740888,1.44176897509547e+20,1.44176897509547e+20,0.0140321799999583,1.44176897509547e+20,0.140942759287134,0.099559424485024,-2.46127594439038e-05,80,280.466892954739,-5.00315023000693e-05,-4.59216415626469,-2.48803280090107e-05,True
around_1e21,1.44176897509547e+20,1000000000000000005629,1000000000000000005630,1331.8143145,1331.82841374,1.44176897509547e+20,1.44176897509547e+20,0.0140992400001778,1.44176897509547e+20,0.140942759287134,0.100035220478792,-2.48485710728268e-05,80,279.930423853586,-5.0366944064473e-05,-3.77281121082513,-2.50710901265418e-05,True
around_1e21,1.44176897509547e+20,1000000000000000006622,1000000000000000006623,1471.77415181,1471.78854508,1.44176897509547e+20,1.44176897509547e+20,0.0143932700000278,1.44176897509547e+20,0.140942759287134,0.102121386531856,-2.58957776617124e-05,80,274.912328998134,-5.23558548737386e-05,-2.99533201234419,-2.6083367368042e-05,True
around_1e21,1.44176897509547e+20,1000000000000000002984,1000000000000000002985,959.0941081,959.10864592,1.44176897509547e+20,1.44176897509547e+20,0.0145378199999868,1.44176897509547e+20,0.140942759287134,0.103146980189098,-2.64185262940021e-05,80,271.482719631032,-5.35497066617904e-05,-3.66169679478901,-2.66552809349694e-05,True
around_1e21,1.44176897509547e+20,1000000000000000003841,1000000000000000003842,1079.85560621,1079.87042737,1.44176897509547e+20,1.44176897509547e+20,0.0148211600001105,1.44176897509547e+20,0.140942759287134,0.105157299850475,-2.74583479686093e-05,80,266.352760114296,-5.56448523144663e-05,-3.53164839152885,-2.77002664304807e-05,True
around_1e21,1.44176897509547e+20,1000000000000000007393,1000000000000000007394,1580.44336029,1580.45881934,1.44176897509547e+20,1.44176897509547e+20,0.0154590499998903,1.44176897509547e+20,0.140942759287134,0.109683179739632,-2.98727783623887e-05,80,255.296922090936,-6.05532173019457e-05,-3.45118985827014,-3.01410935893063e-05,True
around_1e21,1.44176897509547e+20,1000000000000000001925,1000000000000000001926,809.82386585,809.83962359,1.44176897509547e+20,1.44176897509547e+20,0.0157577400000264,1.44176897509547e+20,0.140942759287134,0.111802408862481,-3.1038296238554e-05,80,249.270938576846,-6.32153113796238e-05,-4.57256943847261,-3.14161411624672e-05,True
around_1e21,1.44176897509547e+20,1000000000000000002231,1000000000000000002232,852.98813132,853.00432621,1.44176897509547e+20,1.44176897509547e+20,0.0161948900000652,1.44176897509547e+20,0.140942759287134,0.114904022611565,-3.27843077642767e-05,80,243.05194329753,-6.66313948382647e-05,-3.93954599223287,-3.31371412476668e-05,True
around_1e21,1.44176897509547e+20,1000000000000000008427,1000000000000000008428,1726.2547402,1726.27111112,1.44176897509547e+20,1.44176897509547e+20,0.0163709199998721,1.44176897509547e+20,0.140942759287134,0.116152969352052,-3.35008777052764e-05,80,240.202611167177,-6.81546296283939e-05,-4.13307674964517,-3.38835273022017e-05,True
around_1e21,1.44176897509547e+20,1000000000000000006620,1000000000000000006621,1471.43244882,1471.44893687,1.44176897509547e+20,1.44176897509547e+20,0.0164880499999072,1.44176897509547e+20,0.140942759287134,0.116984015945914,-3.39819740999298e-05,80,238.936931739319,-6.90058664430147e-05,-3.66301185756035,-3.4327957191384e-05,True
around_1e21,1.44176897509547e+20,1000000000000000007735,1000000000000000007736,1628.63005855,1628.64659151,1.44176897509547e+20,1.44176897509547e+20,0.0165329599999495,1.44176897509547e+20,0.140942759287134,0.117302655940402,-3.41673457949914e-05,80,238.311915725991,-6.93752972845847e-05,-3.62903132839054,-3.45129018078455e-05,True
around_1e21,1.44176897509547e+20,1000000000000000002263,1000000000000000002264,857.45016109,857.4668736,1.44176897509547e+20,1.44176897509547e+20,0.0167125099999339,1.44176897509547e+20,0.140942759287134,0.118576577359938,-3.49134988122363e-05,80,231.152516656758,-7.23007918825757e-05,-8.18915015545727,-3.57308952399306e-05,True
around_1e21,1.44176897509547e+20,1000000000000000003181,1000000000000000003182,986.77486122,986.79187944,1.44176897509547e+20,1.44176897509547e+20,0.0170182199999545,1.44176897509547e+20,0.140942759287134,0.120745613935969,-3.62024764958562e-05,80,231.134112377343,-7.36292009211128e-05,-3.9080953277344,-3.66088457075225e-05,True
around_1e21,1.44176897509547e+20,1000000000000000002931,1000000000000000002932,951.50242154,951.52024982,1.44176897509547e+20,1.44176897509547e+20,0.0178282800000034,1.44176897509547e+20,0.140942759287134,0.126493053564269,-3.9730945969815e-05,80,218.671116938041,-8.15301090040843e-05,-5.69152488715139,-4.0415911836735e-05,True
around_1e21,1.44176897509547e+20,1000000000000000008290,1000000000000000008291,1706.8218701,1706.83983932,1.44176897509547e+20,1.44176897509547e+20,0.0179692199999408,1.44176897509547e+20,0.140942759287134,0.127493033986466,-4.03616084257842e-05,80,218.470742884785,-8.22500063975033e-05,-4.13213025123179,-4.08681498502812e-05,True
around_1e21,1.44176897509547e+20,1000000000000000007830,1000000000000000007831,1642.06960765,1642.08830983,1.44176897509547e+20,1.44176897509547e+20,0.0187021799999911,1.44176897509547e+20,0.140942759287134,0.132693443030233,-4.37214420940085e-05,80,210.309385921174,-8.89269868678182e-05,-3.5694239289023,-4.42140580706458e-05,True
